user_id,notification time,clicked
1,4:12:56,false
2,4:20:42,true
3,3:12:46,false
4,3:05:46,true
5,5:15:17,false
6,5:26:01,true
7,4:05:22,true
8,4:28:28,false
9,5:02:08,false
10,3:55:53,true
11,3:24:04,true
12,4:00:52,true
13,5:35:15,false
14,4:44:52,false
15,4:13:02,false
16,5:36:32,false
17,4:28:57,false
18,5:06:23,true
19,3:58:00,true
20,4:01:06,false
21,3:28:52,false
22,4:40:42,false
23,4:38:48,false
24,5:21:17,true
25,4:11:12,true
26,3:40:43,false
27,3:45:01,false
28,5:10:16,false
29,4:58:09,false
30,4:18:48,false
31,3:28:01,true
32,3:17:23,false
33,5:25:33,true
34,5:08:01,true
35,5:42:53,false
36,4:12:38,false
37,3:43:22,false
38,3:23:15,true
39,3:07:29,false
40,3:18:30,false
41,5:36:24,false
42,3:18:10,false
43,4:36:47,false
44,3:24:32,false
45,5:38:06,false
46,3:57:38,true
47,5:23:16,false
48,3:17:53,false
49,3:34:16,true
50,4:55:02,false
51,5:40:15,false
52,4:07:07,false
53,5:00:18,true
54,5:55:09,false
55,3:09:45,false
56,5:19:14,true
57,4:07:29,false
58,4:09:01,true
59,4:07:32,false
60,5:46:29,true
61,3:03:27,true
62,5:43:08,false
63,5:53:30,true
64,5:47:14,true
65,4:10:41,true
66,4:46:14,true
67,5:52:15,false
68,3:52:16,true
69,3:01:01,true
70,3:12:18,false
71,3:31:16,true
72,4:57:49,true
73,4:04:51,true
74,3:48:10,false
75,3:27:47,true
76,3:22:18,false
77,4:27:28,true
78,3:54:25,false
79,3:14:26,false
80,5:20:30,false
81,5:03:11,true
82,4:58:27,true
83,5:32:36,false
84,5:21:23,true
85,5:39:40,false
86,5:31:28,false
87,4:17:34,false
88,4:49:12,false
89,3:39:35,false
90,3:29:23,true
91,4:57:05,true
92,3:38:12,false
93,5:50:35,true
94,4:19:10,false
95,4:15:08,false
96,4:14:34,false
97,4:05:47,false
98,5:48:30,false
99,5:58:02,true
100,3:56:04,true
101,4:00:50,true
102,3:45:44,false
103,4:22:58,false
104,3:38:21,true
105,3:50:45,true
106,4:04:16,true
107,3:51:18,false
108,3:34:41,true
109,3:08:51,false
110,4:10:23,false
111,5:50:54,true
112,4:30:14,true
113,5:45:59,false
114,3:09:44,false
115,3:46:52,true
116,4:50:28,true
117,4:37:52,true
118,5:48:29,false
119,5:29:07,true
120,3:30:09,false
121,3:40:20,true
122,5:47:55,true
123,3:29:27,true
124,5:46:06,false
125,4:39:37,true
126,5:34:45,false
127,5:48:29,true
128,3:03:13,true
129,5:28:00,false
130,5:20:56,false
131,5:13:58,false
132,5:34:11,true
133,3:21:27,true
134,4:46:34,true
135,5:01:03,false
136,5:47:44,false
137,5:55:25,false
138,3:15:15,false
139,4:44:09,false
140,3:40:45,false
141,5:53:14,true
142,3:16:10,false
143,5:50:33,false
144,3:24:53,true
145,4:04:43,true
146,3:24:58,true
147,5:29:29,true
148,3:38:42,true
149,5:14:42,true
150,5:07:55,false
151,3:03:01,false
152,4:32:01,true
153,3:19:45,true
154,3:47:47,false
155,5:54:09,true
156,3:52:14,true
157,4:46:04,false
158,5:48:33,false
159,3:12:04,true
160,5:55:31,true
161,3:16:18,true
162,3:59:07,false
163,4:31:03,true
164,5:51:50,true
165,4:46:20,false
166,4:21:06,false
167,4:47:02,true
168,3:36:10,true
169,3:41:24,false
170,3:57:54,true
171,4:19:15,true
172,4:32:24,true
173,4:06:34,true
174,5:17:15,false
175,3:44:09,false
176,3:19:40,true
177,5:57:19,true
178,5:51:20,true
179,4:45:45,true
180,5:06:08,true
181,4:28:27,false
182,3:08:56,true
183,3:03:14,true
184,4:18:12,true
185,4:30:51,false
186,4:53:46,true
187,4:30:07,true
188,3:35:57,false
189,4:12:52,true
190,3:57:45,false
191,4:37:20,false
192,4:19:33,false
193,3:52:18,true
194,5:25:52,true
195,5:15:57,true
196,3:13:06,false
197,5:13:41,true
198,5:18:53,false
199,3:31:44,false
200,5:09:02,true
201,3:23:56,true
202,3:34:55,true
203,3:04:14,false
204,3:11:55,true
205,5:58:09,true
206,5:08:35,true
207,4:14:07,true
208,4:00:58,false
209,5:07:11,true
210,5:17:24,false
211,3:34:03,false
212,5:41:39,true
213,4:10:56,true
214,4:28:26,true
215,4:47:49,false
216,5:02:37,false
217,4:01:59,true
218,5:25:22,false
219,4:20:09,true
220,3:00:40,true
221,5:18:40,false
222,5:43:45,true
223,5:03:41,false
224,4:59:45,true
225,4:35:18,true
226,4:58:14,true
227,3:51:11,false
228,5:51:27,true
229,3:17:16,true
230,5:30:26,false
231,3:06:51,true
232,4:32:03,true
233,3:20:34,false
234,5:36:06,false
235,4:13:10,false
236,5:26:32,true
237,5:08:17,false
238,5:47:02,true
239,3:27:04,true
240,5:05:19,true
241,4:52:39,false
242,4:31:17,true
243,5:42:26,false
244,4:08:14,true
245,5:18:12,false
246,3:51:37,true
247,3:31:55,true
248,5:17:27,false
249,4:31:46,true
250,3:06:08,false
251,3:34:48,true
252,4:25:10,true
253,4:39:25,true
254,5:15:21,false
255,3:34:20,false
256,3:46:30,true
257,4:04:49,false
258,3:04:52,false
259,3:49:53,true
260,4:05:00,false
261,4:20:04,true
262,3:24:17,true
263,4:25:34,true
264,5:30:14,false
265,3:52:18,true
266,3:11:24,true
267,3:18:50,true
268,3:30:00,true
269,5:12:20,true
270,4:47:55,false
271,3:26:04,true
272,4:36:22,true
273,4:15:24,true
274,5:21:46,false
275,4:33:43,false
276,3:49:23,true
277,3:10:56,false
278,4:26:06,true
279,3:46:02,true
280,4:46:26,false
281,5:36:24,false
282,3:41:33,false
283,4:33:32,false
284,4:22:09,false
285,4:41:02,false
286,4:39:45,true
287,5:29:00,true
288,3:45:08,true
289,5:12:46,false
290,3:38:18,false
291,3:32:51,false
292,5:53:20,true
293,3:56:03,true
294,4:06:49,false
295,4:04:52,true
296,3:32:05,false
297,3:26:30,true
298,5:58:03,false
299,3:41:37,false
300,4:17:55,false
301,4:32:51,true
302,4:50:53,false
303,4:27:11,true
304,4:06:32,true
305,5:27:00,false
306,3:57:36,false
307,5:56:04,false
308,5:06:30,true
309,3:23:34,false
310,3:21:35,true
311,5:10:51,true
312,5:58:36,true
313,5:51:40,false
314,4:35:57,false
315,3:42:37,false
316,3:04:45,false
317,5:52:06,false
318,4:34:36,true
319,5:45:38,true
320,3:26:23,false
321,5:30:48,true
322,5:42:51,true
323,4:08:00,false
324,4:07:19,false
325,5:48:42,false
326,5:31:05,true
327,4:46:33,true
328,3:15:03,false
329,3:20:33,true
330,4:40:48,false
331,5:31:31,false
332,5:13:10,false
333,5:15:33,false
334,5:01:47,false
335,4:04:54,true
336,5:46:43,false
337,4:17:21,true
338,4:06:29,true
339,5:51:18,false
340,3:48:38,false
341,5:09:47,false
342,3:10:18,false
343,3:30:47,false
344,5:26:26,true
345,4:37:32,true
346,4:17:49,true
347,3:47:26,true
348,5:04:13,false
349,4:45:53,false
350,5:21:30,false
351,4:05:07,false
352,4:22:46,true
353,4:09:27,true
354,3:10:48,false
